time_ms,ppg_red,ppg_ir,ax,ay,az,gx,gy,gz,motion_mag
53954,780,717,0.001831,0.015137,1.005371,-0.244141,0.000000,-0.061035,1.005487
54114,887,516,0.004395,0.014771,1.005371,-0.244141,-0.061035,-0.061035,1.005489
54275,788,681,0.003296,0.016724,1.005005,-0.183105,0.000000,-0.122070,1.005149
54436,986,523,0.003662,0.016235,1.004883,-0.305176,0.000000,-0.061035,1.005021
54595,790,768,0.005005,0.015991,1.006348,-0.305176,0.000000,-0.122070,1.006487
54756,846,562,0.003174,0.015381,1.004883,-0.244141,0.000000,-0.122070,1.005005
54917,651,666,0.004639,0.014648,1.006592,-0.244141,0.061035,-0.061035,1.006709
55077,1057,430,0.003540,0.015991,1.005127,-0.305176,0.061035,-0.061035,1.005260
55238,834,841,0.004150,0.015625,1.005005,-0.305176,0.000000,-0.061035,1.005135
55398,905,643,0.003418,0.015747,1.006104,-0.244141,-0.061035,-0.061035,1.006233
55558,589,695,0.004761,0.016602,1.005371,-0.305176,0.122070,-0.122070,1.005519
55719,967,367,0.005005,0.015747,1.004761,-0.366211,-0.061035,-0.183105,1.004897
55879,929,703,0.003540,0.014404,1.005493,-0.305176,0.000000,-0.061035,1.005603
56039,940,702,0.009155,0.014893,1.005493,-0.366211,0.000000,-0.122070,1.005645
56200,653,750,-0.002075,0.015137,1.005493,-0.305176,0.000000,-0.061035,1.005609
56359,752,430,0.006470,0.015381,1.005249,-0.305176,0.061035,-0.061035,1.005388
56520,845,533,0.002441,0.014404,1.005493,-0.183105,-0.061035,0.000000,1.005599
56681,1025,621,0.005249,0.015381,1.006226,-0.305176,-0.061035,-0.122070,1.006357
56840,768,787,0.003052,0.016113,1.006836,-0.305176,0.000000,-0.061035,1.006969
57001,701,566,0.004028,0.015991,1.005371,-0.305176,0.061035,-0.061035,1.005506
57161,864,492,0.003052,0.015869,1.006836,-0.305176,0.061035,-0.061035,1.006966
57322,929,647,0.002930,0.014648,1.005615,-0.305176,0.000000,-0.122070,1.005726
57483,881,661,0.005127,0.015625,1.005737,-0.305176,0.000000,-0.122070,1.005872
57642,739,652,0.003052,0.014893,1.005127,-0.305176,0.061035,-0.061035,1.005242
57803,893,528,0.003662,0.015381,1.005127,-0.305176,0.061035,-0.122070,1.005251
57964,778,695,0.003418,0.012817,1.004761,-0.305176,0.000000,-0.061035,1.004848
58123,900,544,0.004028,0.016235,1.006836,-0.244141,0.000000,-0.061035,1.006975
58284,794,704,0.000732,0.013794,1.006104,-0.244141,0.061035,-0.122070,1.006198
58445,978,575,0.004517,0.020752,1.005737,-0.183105,0.061035,-0.061035,1.005962
58604,788,748,0.002075,0.020752,1.005981,-0.305176,0.000000,-0.122070,1.006198
