time_ms,ax,ay,az,gx,gy,gz,motion_mag,motion_score,motion_label
0,0.004,-0.006,1.001,0.12,-0.08,0.05,1.0010259736889946,0.0,STILL
20,0.006,-0.004,0.999,0.1,-0.06,0.04,0.9990260256870188,0.0014141767942176015,STILL
40,0.003,-0.005,1.002,0.11,-0.07,0.06,1.0020169659242302,0.0015235693356650999,STILL
60,0.005,-0.007,1.0,0.09,-0.05,0.03,1.0000369993155254,0.0012860788883260138,STILL
80,0.004,-0.006,0.998,0.1,-0.06,0.05,0.9980260517641811,0.0015782707653068185,STILL
100,0.007,-0.004,1.001,0.13,-0.08,0.04,1.0010324670059407,0.0015793012078150123,STILL
120,0.005,-0.005,1.0,0.11,-0.07,0.05,1.000024999687508,0.0014810326968804116,STILL
140,0.004,-0.003,0.999,0.09,-0.05,0.04,0.9990125124341537,0.0011448220539793902,STILL
160,0.006,-0.006,1.002,0.12,-0.06,0.06,1.0020359274996082,0.0015874298892686986,STILL
180,0.003,-0.005,1.0,0.1,-0.07,0.05,1.0000169998555024,0.001149531229166036,STILL
200,0.025,-0.018,0.986,1.2,-0.8,0.45,0.9864811199409748,0.006264741364270756,STILL
220,0.041,-0.026,1.015,2.1,-1.4,0.7,1.016160420406148,0.010562804869906623,STILL
240,0.067,-0.052,0.972,3.4,-2.2,1.1,0.9756930869899612,0.015507748171638051,STILL
260,0.102,-0.071,1.038,5.1,-3.0,1.8,1.0454133153925294,0.02731373432246592,STILL
280,0.138,-0.096,0.951,6.8,-4.2,2.4,0.9657437548335479,0.032590335951229295,STILL
300,0.185,-0.122,1.074,8.6,-5.1,3.2,1.0966243659521706,0.05347590217815962,MOVING
320,0.121,-0.084,0.934,6.2,-3.8,2.1,0.9455437589027809,0.0631664937271932,MOVING
340,0.076,-0.049,1.041,4.0,-2.5,1.3,1.0449200926386668,0.06249999449756803,MOVING
360,0.038,-0.024,0.981,2.0,-1.2,0.6,0.9820290219744018,0.06239582039713413,MOVING
380,0.018,-0.012,1.006,0.9,-0.5,0.3,1.0062325774889223,0.058193313840652856,MOVING
400,0.31,-0.22,0.82,22.0,-15.0,8.0,0.9038252043398657,0.05439627652406594,MOVING
420,-0.42,0.35,1.28,-31.0,21.0,-12.0,1.3918692467326088,0.18944577729604245,HIGH_MOTION
440,0.56,-0.41,0.69,38.0,-27.0,16.0,0.9786725703727472,0.19354133904597956,HIGH_MOTION
460,-0.67,0.52,1.41,-45.0,33.0,-19.0,1.6454178800535746,0.3195181402308826,HIGH_MOTION
480,0.74,-0.61,0.54,52.0,-39.0,23.0,1.1005907504608605,0.3089156041131082,HIGH_MOTION
500,-0.59,0.46,1.52,-48.0,35.0,-20.0,1.69413694841946,0.31890729008852076,HIGH_MOTION
520,0.48,-0.37,0.63,41.0,-29.0,17.0,0.8741853350405736,0.38419442642975676,HIGH_MOTION
540,-0.35,0.27,1.33,-30.0,22.0,-13.0,1.4015348729161183,0.3523951427355712,HIGH_MOTION
560,0.22,-0.16,0.79,19.0,-14.0,7.0,0.8355237878121724,0.36465725976611485,HIGH_MOTION
580,-0.11,0.08,1.12,-9.0,6.0,-3.0,1.1282287002199511,0.36333707406381605,HIGH_MOTION
